POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3226,44,14,110,48,32,28,12,28,0,304,0,0,0,0,0,0,0,0,0,0,23,20,14,19,20,7,7,5,6,116,24,21,25,24,18,15,9,18,10,160,988,2257,984,782,659,276,122,241,91,6393
POA3227,16,4,21,3,3,5,0,0,0,61,0,0,0,0,0,0,0,0,0,0,11,14,0,3,3,0,0,4,0,48,8,7,7,8,4,6,0,5,5,52,416,749,237,161,200,95,22,48,27,1956
POA3228,49,19,106,45,50,41,5,29,0,354,0,0,0,0,0,0,0,0,0,4,38,43,15,29,20,5,5,9,9,169,33,24,28,14,17,13,4,23,31,182,1742,3476,1270,998,901,472,132,315,118,9429
POA3230,8,0,19,11,0,8,0,4,0,52,0,0,0,0,0,0,0,0,0,0,3,11,4,10,0,0,3,0,0,28,5,3,5,4,0,3,0,0,0,22,218,426,155,125,97,46,18,45,21,1154
POA3231,5,0,6,3,6,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,13,130,230,63,52,53,38,3,29,5,602
POA3232,8,0,18,5,0,3,0,5,0,41,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,0,8,0,0,6,0,0,0,15,105,98,74,50,43,35,8,36,4,456
POA3233,11,0,30,0,12,10,0,9,0,79,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,7,3,7,3,3,3,10,0,4,5,30,156,151,116,66,76,59,15,73,15,723
POA3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,28,21,14,3,3,4,0,15,0,84
POA3235,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,9,40,57,35,21,13,10,6,11,3,191
POA3236,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,29,8,12,10,0,0,7,0,86
POA3237,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,33,11,10,14,3,4,8,3,0,83
POA3238,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,32,32,10,4,3,10,6,4,0,101
POA3239,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,32,20,15,10,0,5,11,0,129
POA3240,10,0,9,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,8,0,0,4,3,3,5,0,0,0,21,178,235,164,89,73,31,27,40,7,846
POA3241,7,0,12,8,4,3,0,0,0,39,0,0,0,0,0,0,0,0,0,0,5,0,3,4,4,0,7,3,0,20,6,4,8,4,0,0,3,13,0,38,176,237,206,133,83,43,52,72,13,1021
POA3242,4,0,17,4,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,6,0,0,3,0,0,0,0,14,68,94,61,36,33,12,17,13,6,339
POA3243,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,52,32,14,8,10,8,6,17,0,149
POA3249,11,0,5,14,5,0,5,8,0,55,0,0,0,0,0,0,0,0,0,0,8,5,0,6,4,0,0,0,0,22,13,0,4,3,3,4,5,6,9,38,262,204,124,140,93,47,76,99,15,1071
POA3250,23,3,106,39,20,25,23,63,3,308,0,0,0,0,0,0,0,3,0,3,12,6,3,7,13,4,4,9,0,54,14,8,19,7,10,10,12,33,27,136,379,615,606,598,293,171,195,478,60,3389
POA3251,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,6,6,5,0,0,0,0,0,4,0,8,41,39,18,14,17,7,13,18,5,174
POA3254,6,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,16,26,14,14,6,9,9,0,115
POA3260,11,4,26,9,5,3,0,12,4,89,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,5,0,19,20,6,3,7,5,3,0,4,7,57,271,329,200,169,99,59,58,112,27,1324
POA3264,0,0,15,8,3,3,0,8,0,36,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,3,4,0,0,16,0,6,3,5,0,4,7,5,4,32,81,114,98,119,56,34,43,56,14,622
POA3265,10,0,14,9,5,5,0,12,0,56,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,15,24,0,6,5,3,4,0,5,0,48,301,166,122,100,68,22,26,96,12,921
POA3266,11,4,21,6,0,0,5,10,0,60,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,13,9,0,4,3,0,0,4,15,4,43,196,127,123,88,54,27,60,108,8,795
POA3267,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,15,18,5,6,3,0,3,7,0,62
POA3268,7,0,15,0,0,0,0,7,0,34,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,17,20,0,4,0,0,5,6,9,5,52,240,121,110,71,50,21,46,100,13,784
POA3269,8,0,9,0,4,0,0,5,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,4,0,9,90,46,34,15,16,9,11,33,5,259
POA3270,3,0,3,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,26,23,27,9,5,6,0,8,4,114
POA3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,8,3,3,0,0,0,7,0,48
POA3272,5,0,8,5,0,0,0,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,5,0,0,5,0,0,11,93,79,64,53,39,17,23,42,6,413
POA3273,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,4,0,0,0,8,0,50
POA3274,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,35,14,4,0,3,0,0,5,0,70
POA3275,6,0,6,4,4,0,4,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,23,28,41,21,23,3,18,12,0,168
POA3276,6,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,18,15,16,13,0,5,11,0,133
POA3277,3,0,20,8,0,8,0,10,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,5,4,6,5,0,0,7,3,4,29,121,124,100,69,58,33,38,49,14,606
POA3278,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,16,20,14,7,13,14,8,0,121
POA3279,7,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,31,16,15,14,5,3,3,8,3,96
POA3280,85,23,271,135,61,89,21,116,10,814,0,0,0,5,0,0,0,11,0,13,21,29,23,22,14,11,10,11,7,147,28,22,33,24,19,28,17,71,45,284,1246,3103,1687,1608,1061,572,337,839,147,10601
POA3281,5,0,14,9,5,0,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,10,3,5,0,0,0,4,0,4,0,18,121,182,137,78,69,28,24,50,9,699
POA3282,13,5,23,13,7,11,5,8,0,73,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,14,5,3,0,6,0,0,6,0,9,28,104,203,154,136,76,40,45,59,11,837
POA3283,3,0,13,0,0,3,0,3,0,27,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,7,6,0,3,3,0,0,0,3,3,19,115,114,75,59,42,22,11,36,15,490
POA3284,17,0,36,20,3,3,0,11,0,87,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,20,18,4,0,0,3,3,0,0,8,43,254,388,170,137,101,47,25,65,21,1206
POA3285,4,0,3,3,0,3,0,6,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,4,19,110,108,56,39,27,15,23,37,8,420
POA3286,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,38,30,19,8,17,3,5,14,6,155
POA3287,0,0,4,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,27,18,13,6,4,3,26,0,129
POA3289,4,0,0,6,5,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,13,79,38,26,22,23,12,6,21,6,221
POA3292,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,4,4,7,0,0,4,4,40
POA3293,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,9,56,14,5,11,13,3,0,11,0,116
POA3294,0,6,11,4,0,0,0,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,12,121,78,42,30,31,22,11,38,0,369
POA3300,25,8,79,30,28,19,9,33,4,240,0,0,0,0,0,0,0,0,0,4,5,5,9,5,3,4,0,0,0,41,4,9,18,9,11,7,15,10,9,88,406,806,540,455,321,167,126,229,39,3083
POA3301,0,0,7,3,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,11,0,3,0,0,0,0,0,6,21,156,103,43,29,49,8,9,47,10,460
POA3302,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,49,26,5,17,10,8,0,6,0,124
POA3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,12,12,11,6,5,9,12,0,94
POA3304,4,0,13,3,5,6,0,9,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,4,6,4,0,0,0,9,11,9,48,158,87,100,89,39,24,64,67,13,644
POA3305,30,3,66,38,27,32,15,30,9,253,0,0,0,0,0,0,0,0,0,5,7,10,13,7,4,4,6,4,4,57,11,11,20,17,14,10,17,22,26,148,407,821,695,597,313,158,261,266,69,3590
POA3309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,3,0,0,5,0,31
POA3310,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,10,9,0,7,3,9,0,60
POA3311,6,0,10,4,0,3,0,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,5,0,0,0,4,3,14,54,74,59,70,33,18,20,42,4,377
POA3312,6,0,9,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,3,5,27,133,53,34,24,13,11,14,28,5,308
POA3314,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,93,31,11,10,10,6,0,14,4,198
POA3315,3,0,12,6,4,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,3,0,0,0,4,4,0,26,156,94,49,44,28,16,16,51,3,461
POA3317,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,7,7,3,0,0,10,0,59
POA3318,6,0,5,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,12,92,66,36,42,29,9,7,28,8,323
POA3319,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,0,0,0,0,0,0,6,33,13,14,10,12,4,5,16,6,104
POA3321,6,0,3,4,0,0,5,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,5,0,6,0,0,4,0,0,0,19,119,193,140,63,71,35,29,51,3,706
POA3322,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,3,8,3,0,3,8,0,48
POA3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,4,0,35
POA3324,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,4,0,0,0,12,49,20,14,15,14,8,15,18,6,149
POA3325,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,43,17,21,13,14,0,7,10,3,123
POA3328,4,0,10,16,8,4,0,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,14,0,0,0,4,0,0,0,3,0,14,84,201,183,126,91,27,41,57,15,816
POA3329,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,22,24,16,21,5,5,4,11,8,122
POA3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,8,3,0,7,0,8,0,45
POA3331,19,4,43,23,20,6,7,21,0,138,0,0,0,0,0,0,0,0,0,3,7,3,0,7,7,6,4,0,0,38,7,6,16,10,3,5,9,3,14,71,310,533,551,366,297,123,134,152,41,2513
POA3332,0,0,4,3,3,4,0,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,3,6,6,4,24,57,70,101,59,41,16,29,36,5,417
POA3333,7,0,3,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,16,65,50,48,29,35,11,16,30,4,292
POA3334,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,31,37,22,19,16,0,8,13,0,153
POA3335,21,0,38,33,26,11,34,17,0,177,0,0,0,0,0,0,0,0,0,3,7,3,4,10,6,5,7,5,4,43,3,4,13,3,5,3,9,6,13,58,202,522,369,285,296,114,223,163,57,2240
POA3336,47,12,118,56,63,40,81,37,6,448,0,0,0,0,0,0,0,0,0,3,8,17,23,34,26,14,26,14,0,163,12,8,13,16,17,11,27,9,40,157,702,1898,872,844,946,349,640,342,131,6722
POA3337,66,21,164,93,107,69,103,75,8,713,0,0,0,0,0,0,0,5,0,9,20,18,17,24,21,8,36,15,5,171,26,15,59,43,35,24,62,65,67,411,944,1720,1868,1794,1356,594,1030,830,208,10338
POA3338,56,13,180,121,72,69,170,72,6,759,3,0,0,0,0,0,0,0,0,5,25,15,29,38,20,12,46,27,7,217,17,19,52,39,32,17,76,38,65,352,890,2055,1567,1728,1282,558,1192,725,219,10212
POA3340,30,19,134,57,65,44,22,36,3,421,0,0,4,0,0,4,0,4,0,5,18,20,23,19,16,4,18,16,5,139,32,11,47,30,29,25,22,23,51,270,1018,1954,1658,1152,1075,408,487,470,153,8364
POA3341,0,0,6,3,4,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,5,17,3,3,3,0,3,0,6,0,3,18,93,133,129,66,72,32,38,35,12,607
POA3342,7,0,18,5,10,9,5,5,0,56,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,3,4,0,22,5,0,6,8,4,0,6,6,3,40,212,275,226,180,151,64,58,78,16,1261
POA3345,0,0,0,0,6,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,3,4,0,0,0,3,3,16,88,121,95,52,58,18,30,28,8,496
POA3350,146,23,392,197,140,123,48,108,13,1182,0,3,5,0,0,3,0,5,0,21,59,86,43,48,53,23,23,14,9,370,39,41,74,45,43,33,37,54,58,422,3005,8036,3004,3015,2557,1172,686,1034,265,22782
POA3351,15,7,41,30,23,8,7,19,0,146,4,0,0,0,0,0,0,0,0,3,3,10,6,3,9,4,4,4,4,44,21,5,23,16,12,7,8,18,13,119,460,616,599,401,316,133,153,217,49,2940
POA3352,47,5,86,54,57,26,11,35,0,318,0,0,0,0,0,0,3,0,0,3,18,17,14,9,16,7,12,4,3,99,37,11,35,17,19,6,15,19,17,177,1016,1575,1207,799,758,268,302,371,96,6389
POA3355,24,3,70,36,24,29,10,29,0,228,0,0,0,0,0,0,0,3,0,4,6,11,11,7,10,3,3,7,3,47,5,8,13,14,15,13,11,17,8,102,297,687,533,535,368,205,155,279,41,3098
POA3356,25,9,91,66,36,34,20,58,3,325,0,0,0,0,3,0,0,0,0,4,4,9,11,10,7,4,6,14,3,62,12,10,21,14,13,10,11,22,19,132,309,770,779,736,468,269,191,343,65,3947
POA3357,5,3,13,9,13,6,3,6,0,47,0,0,0,0,0,0,0,0,0,0,6,3,3,5,0,0,0,0,0,27,0,3,3,8,0,8,0,0,4,33,216,491,169,155,150,51,50,47,23,1327
POA3358,4,0,18,11,8,7,0,6,0,62,0,0,0,0,0,0,0,0,0,3,0,0,6,5,3,0,3,0,0,20,5,5,14,4,0,0,4,0,7,31,133,354,255,204,151,73,57,65,11,1315
POA3360,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,6,13,41,45,28,20,30,6,14,18,8,208
POA3361,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,44,27,20,17,13,8,8,15,6,159
POA3363,9,0,30,4,7,3,4,8,0,69,0,0,0,0,0,0,0,0,0,0,5,0,3,4,3,0,4,3,0,20,3,0,4,5,0,4,0,10,0,21,138,216,207,132,98,47,47,68,11,970
POA3364,17,0,12,11,9,3,4,0,0,53,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,22,9,3,7,4,0,3,3,0,4,32,185,194,123,72,64,28,26,50,13,761
POA3370,0,0,8,9,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,5,0,0,0,0,24,65,139,82,80,44,31,18,37,9,495
POA3371,0,0,6,3,5,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,44,41,30,21,13,11,26,7,229
POA3373,3,0,9,5,8,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,15,4,0,3,0,4,0,4,3,7,28,127,128,85,89,67,17,49,61,12,633
POA3374,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,5,0,0,0,0,0,18,29,31,18,34,14,3,6,4,3,151
POA3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,12,4,4,3,4,0,6,0,74
POA3377,14,3,44,36,14,9,4,22,0,172,0,0,0,0,0,0,0,0,0,0,5,10,4,6,0,0,5,7,0,37,8,10,3,14,5,6,10,33,17,102,350,516,306,496,225,94,99,278,56,2419
POA3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,0,0,3,0,0,4,0,60
POA3379,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,89,34,17,17,14,9,4,20,0,207
POA3380,9,10,29,21,10,10,3,20,5,112,0,0,0,0,0,0,0,4,0,4,4,4,0,0,3,0,0,11,0,25,9,4,5,6,0,3,8,18,3,59,183,298,230,313,137,74,78,198,24,1543
POA3381,3,0,17,6,4,0,0,5,0,32,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,3,0,12,0,0,4,0,0,5,0,0,0,19,112,119,78,58,37,10,20,46,8,472
POA3384,0,0,4,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,38,28,22,30,17,4,11,18,0,171
POA3385,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,60,19,16,24,15,10,10,11,9,168
POA3387,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,5,10,4,3,9,16,0,84
POA3388,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,44,42,13,12,9,4,8,15,0,160
POA3390,5,0,0,4,6,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,15,48,56,20,29,26,11,16,23,8,233
POA3391,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,6,3,0,4,7,4,33
POA3392,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,8,40,23,6,23,9,14,8,12,3,135
POA3393,5,0,14,3,4,0,0,6,0,34,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,17,3,0,5,5,0,4,5,3,3,31,137,133,109,124,52,33,33,43,18,676
POA3395,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,4,8,10,6,3,5,3,79
POA3396,5,0,0,0,4,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,31,41,22,24,17,5,10,15,4,165
POA3400,39,10,113,44,35,41,19,17,0,325,0,0,0,0,0,0,0,5,0,10,8,10,8,6,5,0,0,8,0,49,27,11,18,7,9,5,17,19,18,132,604,1245,734,709,455,239,187,258,69,4504
POA3401,14,4,19,5,21,7,6,8,0,83,0,0,0,0,0,0,0,0,0,0,5,8,0,5,3,0,0,0,0,22,19,3,6,0,3,0,5,3,4,51,390,321,270,160,189,62,79,101,28,1594
POA3407,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,52,16,10,12,4,5,7,22,0,129
POA3409,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,9,92,87,32,30,20,13,14,14,11,320
POA3412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,17,5,9,0,0,0,4,0,67
POA3413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,3,7,3,0,0,8,0,58
POA3414,4,0,8,0,4,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,0,0,0,4,0,13,64,92,54,60,36,15,41,32,4,395
POA3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,22
POA3418,8,0,11,6,4,9,6,11,0,56,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,12,11,0,3,6,7,0,4,13,4,39,176,167,108,97,71,29,49,91,13,798
