POA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA3424,13,88,107,64,48,318,4,320
POA3427,39,636,912,266,182,2031,28,2056
POA3428,3,33,82,53,52,218,0,218
POA3429,535,4213,5834,2140,1311,14034,147,14182
POA3430,0,24,20,21,32,97,5,96
POA3431,20,306,627,314,232,1498,13,1507
POA3432,0,9,20,21,20,68,0,68
POA3433,0,8,29,18,10,69,0,69
POA3434,25,423,874,463,310,2091,37,2127
POA3435,15,245,481,226,179,1140,15,1156
POA3437,64,864,1780,687,525,3915,32,3949
POA3438,16,189,335,153,106,793,0,803
POA3440,10,142,327,110,100,693,4,697
POA3441,4,106,248,105,39,511,8,515
POA3442,71,904,1289,493,297,3053,37,3094
POA3444,145,1107,1490,585,421,3757,50,3809
POA3446,8,123,188,65,38,424,9,427
POA3447,3,42,96,43,25,203,6,208
POA3448,0,95,166,69,57,389,0,392
POA3450,276,1499,955,274,133,3142,62,3204
POA3451,30,721,979,344,238,2305,24,2338
POA3453,11,150,276,125,111,677,9,686
POA3458,14,306,371,136,96,925,5,935
POA3460,79,579,426,116,46,1247,23,1273
POA3461,40,555,782,325,163,1861,19,1884
POA3462,9,173,194,89,65,527,3,533
POA3463,19,372,417,192,127,1131,19,1148
POA3464,14,118,169,76,64,440,12,449
POA3465,285,1729,1442,501,311,4267,104,4368
POA3467,22,187,190,95,56,543,15,559
POA3468,0,38,43,25,23,123,0,125
POA3469,6,36,35,12,20,110,0,108
POA3472,20,230,230,97,70,645,17,661
POA3475,4,53,61,22,15,156,3,162
POA3477,9,61,113,74,57,315,8,322
POA3478,92,404,390,140,102,1129,31,1160
POA3480,31,219,254,111,90,698,20,720
POA3482,3,18,24,12,9,69,0,68
POA3483,19,105,118,57,55,350,10,359
POA3485,6,30,44,24,14,121,3,127
POA3487,0,3,3,10,5,25,0,25
POA3488,5,6,16,9,7,37,0,37
POA3489,0,8,4,3,11,21,0,21
POA3490,38,153,190,78,52,507,16,528
POA3491,0,18,18,11,8,53,0,52
POA3494,10,68,73,41,33,232,16,252
POA3496,113,656,841,394,272,2282,46,2329
POA3498,37,477,825,384,274,2001,52,2058
POA3500,990,5007,4772,1500,740,13007,308,13319
POA3501,9,126,275,162,121,695,15,710
POA3505,60,435,673,327,221,1718,43,1764
POA3506,0,3,5,0,0,10,0,10
POA3507,0,27,19,14,6,64,0,64
POA3509,3,21,34,18,14,90,4,96
POA3512,4,43,51,23,26,143,6,146
POA3515,3,136,384,173,117,816,12,829
POA3516,10,62,84,63,51,265,0,270
POA3517,19,165,208,104,77,568,23,587
POA3518,19,167,186,96,66,531,14,547
POA3520,0,32,15,12,5,67,5,71
POA3521,3,38,102,62,53,251,7,258
POA3522,5,22,54,22,28,130,0,130
POA3523,45,551,628,244,146,1622,55,1676
POA3525,32,176,193,96,60,553,15,572
POA3527,14,108,108,52,35,325,7,329
POA3529,0,11,10,9,14,42,0,40
POA3530,0,15,14,11,12,54,0,55
POA3531,0,20,27,15,17,77,0,82
POA3533,16,114,92,64,31,305,14,322
POA3537,16,108,149,70,31,379,6,388
POA3540,4,42,32,14,18,118,0,119
POA3542,3,12,13,11,19,53,3,58
POA3544,0,29,23,16,26,94,0,94
POA3546,5,35,48,18,23,141,0,140
POA3549,86,310,389,182,136,1106,46,1154
POA3550,1252,7144,5987,1756,906,17046,197,17240
POA3551,117,2445,5357,2233,1602,11756,105,11861
POA3555,531,3412,3044,1008,454,8441,145,8582
POA3556,328,1947,1954,761,461,5453,112,5561
POA3557,0,63,128,58,55,298,3,306
POA3558,14,137,137,62,42,392,8,399
POA3559,0,45,76,45,38,205,3,218
POA3561,65,534,632,285,200,1717,39,1753
POA3562,4,10,38,23,11,90,0,90
POA3563,10,77,116,60,45,311,3,311
POA3564,379,2184,2446,928,556,6493,133,6626
POA3565,0,11,19,13,8,44,0,43
POA3566,6,60,83,40,33,222,7,227
POA3567,10,76,80,55,37,262,9,265
POA3568,52,400,458,163,124,1199,24,1217
POA3570,6,38,104,72,57,267,4,273
POA3571,3,17,39,19,32,107,0,111
POA3572,0,8,9,15,14,43,3,50
POA3573,0,36,36,19,29,125,0,127
POA3575,19,101,93,72,40,320,12,337
POA3576,0,4,10,8,3,28,0,30
POA3579,119,728,746,327,212,2135,67,2206
POA3580,13,132,176,76,40,444,10,449
POA3581,0,5,23,7,11,48,10,54
POA3583,0,9,16,20,9,55,0,59
POA3584,7,90,175,82,39,394,9,397
POA3585,319,1514,1703,550,276,4371,94,4465
POA3586,5,37,106,64,59,266,4,270
POA3588,0,31,58,30,17,142,7,151
POA3589,0,22,45,21,20,109,3,116
POA3590,4,18,42,21,20,111,0,113
POA3591,0,5,28,6,14,62,0,61
POA3594,14,69,83,37,17,219,6,222
POA3595,14,76,94,17,24,231,12,240
POA3596,0,5,7,8,9,32,0,32
POA3597,12,39,58,35,18,160,4,168
POA3599,0,14,13,7,8,51,0,51
POA3607,0,7,21,14,12,55,0,55
POA3608,54,416,414,176,104,1162,25,1186
POA3610,25,160,217,97,83,581,17,595
POA3612,26,249,240,130,94,734,28,762
POA3614,3,49,130,83,48,305,3,313
POA3616,77,622,812,339,235,2085,42,2131
POA3617,0,10,20,18,8,58,0,58
POA3618,9,77,106,45,22,258,6,262
POA3620,173,1049,1183,471,337,3219,67,3288
POA3621,31,253,340,159,100,884,22,899
POA3622,4,21,65,47,36,170,0,176
POA3623,6,122,131,58,46,369,10,374
POA3624,9,61,84,40,23,211,0,217
POA3629,229,1357,1231,496,274,3580,84,3669
POA3630,800,4681,4198,1347,688,11710,262,11969
POA3631,64,939,2045,956,649,4653,70,4724
POA3633,0,19,73,44,47,194,19,214
POA3634,9,101,225,171,123,621,17,640
POA3635,0,49,80,48,30,208,4,215
POA3636,108,713,737,321,218,2098,36,2134
POA3637,0,32,69,48,43,198,3,200
POA3638,52,266,301,150,106,871,22,891
POA3639,0,60,76,34,31,203,3,209
POA3640,3,64,117,70,68,320,5,322
POA3641,13,107,167,79,74,439,15,455
POA3644,204,1322,1309,500,286,3620,101,3720
POA3646,0,47,89,44,48,226,0,230
POA3647,0,0,0,0,0,5,0,5
POA3649,0,43,58,29,26,159,5,171
POA3658,80,627,841,407,321,2277,41,2317
POA3659,9,57,97,65,61,282,3,289
POA3660,227,1102,1064,424,261,3081,60,3137
POA3662,5,60,143,24,3,228,0,233
POA3663,0,13,14,17,14,63,4,63
POA3664,4,138,181,82,53,458,13,471
POA3665,0,39,50,38,22,147,6,154
POA3666,102,667,814,322,206,2108,36,2140
POA3669,16,177,227,106,70,596,16,609
POA3670,0,51,91,66,43,245,3,248
POA3672,299,1725,1589,554,303,4468,133,4602
POA3673,5,124,278,153,133,695,16,709
POA3675,6,142,301,145,115,710,10,719
POA3677,548,3082,2846,769,401,7651,265,7914
POA3678,31,378,1034,512,408,2365,24,2394
POA3682,4,36,80,57,48,225,4,229
POA3683,18,205,273,113,101,707,19,726
POA3685,36,364,424,202,131,1157,27,1186
POA3687,14,121,164,74,37,416,14,431
POA3688,5,64,203,111,85,465,11,473
POA3690,740,5003,5290,1656,832,13521,338,13858
POA3691,32,810,1908,752,549,4045,63,4113
POA3695,0,19,63,36,50,167,4,171
POA3697,6,50,103,37,28,218,0,223
POA3698,9,124,198,53,26,409,0,409
POA3699,33,200,137,39,18,426,7,433
POA3700,17,170,193,97,59,537,10,546
POA3701,6,81,175,86,63,407,7,413
POA3704,0,0,7,3,0,6,0,6
POA3705,0,16,30,18,22,87,4,88
POA3707,32,242,287,103,73,732,13,741
POA3708,0,3,13,4,10,25,0,25
POA3709,0,33,46,25,21,120,5,130
POA3711,3,46,101,47,34,225,6,233
POA3712,4,54,61,23,16,161,9,166
POA3713,20,191,164,46,24,449,12,466
POA3714,62,551,584,230,151,1580,17,1599
POA3715,4,36,56,29,25,148,0,148
POA3717,42,419,548,237,156,1396,26,1427
POA3718,4,7,17,6,6,39,4,37
POA3719,0,36,73,36,25,169,0,174
POA3720,5,71,118,59,22,273,7,276
POA3722,82,725,878,346,206,2236,27,2266
POA3723,30,328,480,199,153,1191,28,1218
POA3725,0,45,91,47,40,225,4,229
POA3726,0,34,54,40,22,154,5,159
POA3727,0,19,42,23,32,111,0,112
POA3728,4,80,102,51,38,273,8,278
POA3730,173,1377,1485,460,275,3776,60,3839
POA3732,6,51,94,39,35,236,3,238
POA3733,0,25,34,29,7,94,4,99
POA3735,0,55,93,62,41,249,3,253
POA3737,66,549,696,294,180,1784,33,1818
POA3738,0,17,38,13,12,76,0,82
POA3739,0,15,33,13,10,78,3,86
POA3740,5,95,185,88,52,429,5,431
POA3741,61,486,482,165,96,1287,29,1321
POA3744,6,47,81,32,17,182,3,182
POA3746,3,30,63,20,33,151,0,155
POA3747,78,656,786,282,163,1963,26,1995
POA3749,18,194,328,136,84,764,18,779
POA3750,136,2091,3684,870,354,7144,114,7257
POA3751,0,9,17,7,7,47,0,46
POA3752,200,2268,3453,1220,797,7938,93,8033
POA3753,14,248,691,268,149,1378,23,1396
POA3754,282,4801,7856,2139,1035,16116,173,16292
POA3755,0,10,34,19,18,85,0,81
POA3756,84,1268,2234,920,588,5096,64,5166
POA3757,84,766,1212,611,518,3191,50,3241
POA3758,7,109,273,168,132,689,27,712
POA3759,3,55,126,80,85,346,4,351
POA3760,0,15,34,38,23,112,0,116
POA3761,5,69,137,92,94,391,5,398
POA3762,0,11,10,12,13,41,4,41
POA3763,9,150,241,134,74,600,6,608
POA3764,105,1208,1387,623,431,3763,55,3812
POA3765,77,517,995,419,297,2302,16,2323
POA3766,7,121,218,77,31,462,4,468
POA3767,5,131,221,60,41,462,0,459
POA3770,12,207,406,250,223,1091,8,1100
POA3775,20,297,618,255,228,1418,9,1430
POA3777,118,1268,1568,632,472,4067,43,4105
POA3778,0,15,27,16,21,78,3,84
POA3779,3,98,77,22,16,221,8,224
POA3781,17,312,636,285,229,1476,22,1501
POA3782,36,545,1169,548,428,2709,19,2733
POA3783,13,140,332,160,143,790,20,812
POA3785,0,4,19,4,0,24,0,24
POA3786,4,112,259,90,58,531,3,531
POA3787,3,98,147,62,33,345,6,354
POA3788,10,171,310,80,68,643,4,644
POA3789,5,29,52,14,11,102,0,106
POA3791,3,146,244,83,63,548,4,554
POA3792,6,84,177,70,28,367,3,370
POA3793,33,349,537,216,156,1291,11,1301
POA3795,11,72,125,83,115,411,6,416
POA3796,63,784,1444,582,474,3350,34,3378
POA3797,58,400,474,226,175,1334,15,1349
POA3799,83,844,822,335,194,2275,34,2315
POA3802,264,2102,3528,1311,717,7931,91,8016
POA3803,154,1199,1328,508,290,3480,51,3530
POA3804,20,238,846,577,652,2330,23,2358
POA3805,500,4469,7671,3143,1914,17694,227,17929
POA3806,476,4768,7499,2532,1491,16767,182,16948
POA3807,74,566,1021,493,350,2502,20,2524
POA3808,3,94,394,203,229,918,8,925
POA3809,85,2084,3183,804,387,6545,51,6593
POA3810,663,6470,7740,2416,1359,18649,266,18914
POA3812,13,127,269,189,174,768,12,783
POA3813,7,51,110,69,69,300,8,311
POA3814,7,188,370,160,125,857,12,864
POA3815,26,250,467,222,221,1183,23,1210
POA3816,25,335,437,176,139,1116,21,1133
POA3818,184,2063,2574,950,594,6360,80,6450
POA3820,361,2552,2994,977,589,7481,80,7559
POA3821,3,152,380,285,210,1040,12,1047
POA3822,0,39,132,74,78,326,5,330
POA3823,20,240,348,130,86,829,19,849
POA3824,56,625,841,310,199,2031,38,2067
POA3825,778,3183,2708,1145,701,8519,227,8743
POA3831,6,175,282,130,106,699,17,713
POA3832,0,36,39,22,14,103,0,112
POA3833,0,44,46,24,12,126,0,128
POA3835,6,37,69,43,27,177,0,185
POA3840,598,2616,2198,740,484,6634,174,6805
POA3842,98,728,722,228,112,1889,33,1925
POA3844,638,4141,4640,1614,887,11921,175,12098
POA3847,20,221,316,149,120,829,30,857
POA3850,427,2414,2290,645,325,6101,101,6200
POA3851,49,619,828,356,272,2126,26,2155
POA3852,0,0,5,0,0,8,0,8
POA3854,0,91,200,113,99,505,10,509
POA3856,9,67,135,99,68,367,0,371
POA3857,9,21,38,40,30,127,5,129
POA3858,42,322,402,195,161,1121,22,1142
POA3859,7,62,120,61,69,323,10,332
POA3860,105,879,1117,490,269,2866,42,2912
POA3862,20,326,572,244,168,1328,27,1350
POA3864,0,16,37,23,20,87,0,92
POA3865,4,57,71,33,21,180,12,188
POA3869,19,150,269,113,97,651,8,661
POA3870,11,136,196,101,59,506,8,511
POA3871,30,359,437,172,137,1135,22,1159
POA3873,3,28,44,23,19,116,5,122
POA3874,6,60,112,46,28,257,10,264
POA3875,405,2589,2914,1114,668,7694,167,7867
POA3878,0,165,250,71,52,540,13,549
POA3880,59,773,781,218,93,1929,44,1970
POA3882,9,94,211,90,80,488,8,494
POA3885,18,170,301,133,103,728,11,740
POA3886,0,37,66,25,20,151,5,153
POA3887,3,31,40,18,12,104,0,104
POA3888,78,546,525,196,110,1457,28,1486
POA3889,0,30,30,12,5,71,3,77
POA3890,6,51,45,27,7,141,0,145
POA3891,3,19,9,14,4,44,0,42
POA3892,22,188,181,70,23,488,13,499
POA3893,0,0,5,4,3,12,0,12
POA3895,0,24,38,18,9,87,0,87
POA3896,3,44,49,28,25,141,0,144
POA3898,8,75,90,47,25,240,17,252
POA3900,5,23,20,17,13,75,0,78
POA3902,4,54,63,23,19,173,0,172
POA3903,10,101,140,50,27,324,10,337
POA3904,11,253,369,116,49,798,9,810
POA3909,187,1344,1258,427,211,3421,97,3521
POA3910,219,2476,3573,1304,884,8449,74,8520
POA3911,41,353,463,236,193,1286,10,1295
POA3912,152,1411,2251,939,787,5538,62,5596
POA3913,21,291,521,211,191,1229,3,1231
POA3915,274,1754,1475,450,257,4217,93,4305
POA3916,7,100,190,60,40,391,10,402
POA3918,27,483,609,284,201,1603,12,1617
POA3919,32,412,513,194,116,1261,11,1272
POA3920,0,40,53,17,0,104,0,104
POA3921,6,25,12,4,0,54,0,54
POA3922,190,1735,1554,428,187,4083,80,4163
POA3923,9,102,143,47,24,322,8,329
POA3925,37,593,734,228,96,1694,18,1717
POA3926,16,322,577,195,131,1239,16,1259
POA3927,5,199,311,108,48,675,10,686
POA3928,0,35,70,42,27,175,3,180
POA3929,3,118,204,63,34,422,7,428
POA3930,126,1385,2963,1064,679,6225,47,6271
POA3931,550,4093,4081,1066,558,10346,129,10476
POA3933,6,54,110,75,97,340,4,345
POA3934,149,1964,3252,1019,582,6963,58,7022
POA3936,186,1877,2271,645,332,5310,74,5388
POA3937,6,127,250,110,77,577,6,582
POA3938,24,382,600,200,97,1308,27,1334
POA3939,328,2535,2399,736,396,6393,107,6505
POA3940,192,1183,680,161,66,2286,60,2341
POA3941,168,1838,2315,622,301,5237,80,5320
POA3942,21,367,549,138,51,1129,16,1144
POA3943,21,302,356,109,34,833,11,839
POA3944,3,110,151,41,24,327,5,328
POA3945,5,83,168,79,63,398,5,401
POA3946,0,31,47,22,14,118,0,117
POA3950,100,680,755,282,186,2001,36,2039
POA3951,3,63,142,75,72,355,3,354
POA3953,147,1050,1186,501,289,3176,47,3216
POA3954,0,28,66,28,23,143,0,144
POA3956,19,423,501,173,119,1233,29,1260
POA3957,0,23,56,13,14,108,0,109
POA3958,0,22,36,21,22,99,0,96
POA3959,0,149,200,78,47,476,9,484
POA3960,45,458,385,158,95,1144,22,1164
POA3962,15,152,138,55,33,393,8,406
POA3964,0,19,36,16,4,71,9,77
POA3965,0,40,47,8,5,99,0,106
POA3966,0,55,83,46,25,209,3,217
POA3967,0,11,21,5,12,48,0,48
POA3971,85,563,663,255,158,1727,37,1764
POA3975,105,1146,2375,821,429,4867,72,4940
POA3976,342,2378,3169,1231,642,7760,158,7918
POA3977,996,10188,16386,5537,2888,35995,480,36470
POA3978,131,3255,6928,1798,724,12841,162,13009
POA3979,0,18,45,27,20,121,0,121
POA3980,14,225,512,265,180,1200,8,1208
POA3981,51,425,735,344,269,1824,24,1855
POA3984,67,883,1162,458,274,2852,67,2914
POA3987,3,71,183,116,125,506,11,510
POA3988,3,94,136,93,76,393,7,403
POA3990,0,5,15,12,8,43,0,45
POA3991,9,37,53,28,21,145,6,146
POA3992,4,144,211,85,42,487,17,502
POA3995,327,1919,1682,550,305,4790,95,4886
POA3996,66,993,1214,285,115,2676,35,2709
